bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 4,0,Grading Week 2 - 19 March 2024,Goal Diggers,Bye,-1,-1,2024-03-19 00:00:00+08:00,True,Goal Diggers,1,,
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 4,0,Grading Week 2 - 19 March 2024,Ballin on those throws,Sihle's Saucy Shawtys,17,8,2024-03-19 18:00:00+08:00,False,Ballin on those throws,2,Sihle's Saucy Shawtys,6.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 4,0,Grading Week 2 - 19 March 2024,ecs dee,Ball Fondlers,6,19,2024-03-19 18:45:00+08:00,False,ecs dee,3,Ball Fondlers,7.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 4,0,Grading Week 2 - 19 March 2024,Dua Lipa Fan Club,court baddies,17,17,2024-03-19 19:45:00+08:00,False,Dua Lipa Fan Club,4,court baddies,8.0
