bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,0,Round 1 - 14 August 2023,Bradaddy's Angels,Free Ballers,6,8,2023-08-14 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,0,Round 1 - 14 August 2023,Netamine,Wait this isn't basketball?,20,0,2023-08-14 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,0,Round 1 - 14 August 2023,Solicited,Mom I Touched The Net,13,3,2023-08-14 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,1,Round 2 - 21 August 2023,Netamine,Solicited,7,22,2023-08-21 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,1,Round 2 - 21 August 2023,Free Ballers,Wait this isn't basketball?,10,5,2023-08-21 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,1,Round 2 - 21 August 2023,Mom I Touched The Net,Bradaddy's Angels,5,12,2023-08-21 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,2,Round 3 - 28 August 2023,Wait this isn't basketball?,Mom I Touched The Net,5,5,2023-08-28 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,2,Round 3 - 28 August 2023,Bradaddy's Angels,Solicited,10,11,2023-08-28 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,2,Round 3 - 28 August 2023,Netamine,Free Ballers,10,15,2023-08-28 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,3,Round 4 - 11 September 2023,Free Ballers,Mom I Touched The Net,22,6,2023-09-11 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,3,Round 4 - 11 September 2023,Bradaddy's Angels,Netamine,17,5,2023-09-11 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,3,Round 4 - 11 September 2023,Wait this isn't basketball?,Solicited,6,11,2023-09-11 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,4,Round 5 - 18 September 2023,Free Ballers,Solicited,10,8,2023-09-18 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,4,Round 5 - 18 September 2023,Netamine,Mom I Touched The Net,14,5,2023-09-18 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,4,Round 5 - 18 September 2023,Bradaddy's Angels,Wait this isn't basketball?,18,4,2023-09-18 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,5,Round 6 - 25 September 2023,Netamine,Wait this isn't basketball?,8,12,2023-09-25 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,5,Round 6 - 25 September 2023,Solicited,Mom I Touched The Net,28,3,2023-09-25 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,5,Round 6 - 25 September 2023,Bradaddy's Angels,Free Ballers,15,13,2023-09-25 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,6,Round 7 - 2 October 2023,Mom I Touched The Net,Bradaddy's Angels,4,11,2023-10-02 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,6,Round 7 - 2 October 2023,Free Ballers,Wait this isn't basketball?,17,3,2023-10-02 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,6,Round 7 - 2 October 2023,Netamine,Solicited,5,18,2023-10-02 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,7,Round 8 - 9 October 2023,Netamine,Free Ballers,13,26,2023-10-09 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,7,Round 8 - 9 October 2023,Bradaddy's Angels,Solicited,15,15,2023-10-09 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,7,Round 8 - 9 October 2023,Wait this isn't basketball?,Mom I Touched The Net,11,19,2023-10-09 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,8,Semi Final Round - 16 October 2023,Free Ballers,Netamine,22,4,2023-10-16 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,8,Semi Final Round - 16 October 2023,Solicited,Bradaddy's Angels,6,19,2023-10-16 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,8,Semi Final Round - 16 October 2023,Mom I Touched The Net,Wait this isn't basketball?,8,12,2023-10-16 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,9,Grand Final Round - 23 October 2023,Free Ballers,Bradaddy's Angels,10,24,2023-10-23 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,9,Grand Final Round - 23 October 2023,Solicited,Wait this isn't basketball?,10,1,2023-10-23 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 7,9,Grand Final Round - 23 October 2023,Netamine,Mom I Touched The Net,15,14,2023-10-23 18:45:00+08:00,False
