bracket,round,home_team,away_team,home_score,away_score,date_time,bye
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 1 - 14 August 2023,Ankle Breakers,Zooper Doopers,18,12,2023-08-14 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 1 - 14 August 2023,The Incrediballs,Jalapeño Hotties,8,16,2023-08-14 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 1 - 14 August 2023,The Nutty Ballers,IshaNETs,9,9,2023-08-14 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 2 - 21 August 2023,The Incrediballs,Zooper Doopers,19,12,2023-08-21 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 2 - 21 August 2023,IshaNETs,Ankle Breakers,17,14,2023-08-21 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 2 - 21 August 2023,Jalapeño Hotties,The Nutty Ballers,15,14,2023-08-21 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 3 - 28 August 2023,Ankle Breakers,The Incrediballs,12,18,2023-08-28 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 3 - 28 August 2023,The Nutty Ballers,Zooper Doopers,17,13,2023-08-28 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 3 - 28 August 2023,Jalapeño Hotties,IshaNETs,17,17,2023-08-28 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 4 - 11 September 2023,Jalapeño Hotties,Zooper Doopers,27,20,2023-09-11 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 4 - 11 September 2023,Ankle Breakers,The Nutty Ballers,4,16,2023-09-11 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 4 - 11 September 2023,The Incrediballs,IshaNETs,14,22,2023-09-11 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 5 - 18 September 2023,The Incrediballs,The Nutty Ballers,14,20,2023-09-18 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 5 - 18 September 2023,Zooper Doopers,IshaNETs,10,14,2023-09-18 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 5 - 18 September 2023,Jalapeño Hotties,Ankle Breakers,14,10,2023-09-18 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 6 - 25 September 2023,The Nutty Ballers,IshaNETs,16,18,2023-09-25 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 6 - 25 September 2023,The Incrediballs,Jalapeño Hotties,20,0,2023-09-25 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 6 - 25 September 2023,Ankle Breakers,Zooper Doopers,15,18,2023-09-25 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 7 - 2 October 2023,Jalapeño Hotties,The Nutty Ballers,9,7,2023-10-02 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 7 - 2 October 2023,IshaNETs,Ankle Breakers,16,9,2023-10-02 19:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 7 - 2 October 2023,The Incrediballs,Zooper Doopers,27,21,2023-10-02 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 8 - 9 October 2023,Jalapeño Hotties,IshaNETs,14,17,2023-10-09 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 8 - 9 October 2023,Ankle Breakers,The Incrediballs,20,20,2023-10-09 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Round 8 - 9 October 2023,The Nutty Ballers,Zooper Doopers,22,8,2023-10-09 20:30:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Semi Final Round - 16 October 2023,IshaNETs,The Incrediballs,29,28,2023-10-16 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Semi Final Round - 16 October 2023,Jalapeño Hotties,The Nutty Ballers,18,16,2023-10-16 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Semi Final Round - 16 October 2023,Ankle Breakers,Zooper Doopers,14,19,2023-10-16 21:15:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Grand Final Round - 23 October 2023,IshaNETs,Jalapeño Hotties,16,18,2023-10-23 18:45:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Grand Final Round - 23 October 2023,The Nutty Ballers,Zooper Doopers,12,12,2023-10-23 18:00:00+08:00,False
2023 Semester 2 Social Sports - Netball - Monday Netball - Division 6,Grand Final Round - 23 October 2023,The Incrediballs,Ankle Breakers,12,20,2023-10-23 20:30:00+08:00,False
