bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 1,0,Grading Week 2 - 19 March 2024,Rodents,Killer Pythons,17,8,2024-03-19 18:00:00+08:00,False,Rodents,1,Killer Pythons,4
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 1,0,Grading Week 2 - 19 March 2024,Kimberley Fine Diamonds,Hoops!... I did it again.,20,12,2024-03-19 18:45:00+08:00,False,Kimberley Fine Diamonds,2,Hoops!... I did it again.,5
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 1,0,Grading Week 2 - 19 March 2024,NutBallers,Brenno the cuddle munchkin,12,11,2024-03-19 19:45:00+08:00,False,NutBallers,3,Brenno the cuddle munchkin,6
