bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 5,0,Grading Week 2 - 19 March 2024,Ignite Llamas,Bye,-1,-1,2024-03-19 00:00:00+08:00,True,Ignite Llamas,1,,
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 5,0,Grading Week 2 - 19 March 2024,Ball Too Well (Taylor's Version),UniHall Ballers,10,19,2024-03-19 19:45:00+08:00,False,Ball Too Well (Taylor's Version),2,UniHall Ballers,6.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 5,0,Grading Week 2 - 19 March 2024,Shooting Stars,Arts Union,27,9,2024-03-19 20:30:00+08:00,False,Shooting Stars,3,Arts Union,7.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 5,0,Grading Week 2 - 19 March 2024,OBDunkers,Yo-Chi,6,14,2024-03-19 20:30:00+08:00,False,OBDunkers,4,Yo-Chi,8.0
