bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 2,0,Grading Week 2 - 19 March 2024,Brew-Tang Clan,Operation Social Netty,10,11,2024-03-19 18:00:00+08:00,False,Brew-Tang Clan,1,Operation Social Netty,5
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 2,0,Grading Week 2 - 19 March 2024,The Wolf Pack,Those Guys,19,14,2024-03-19 18:45:00+08:00,False,The Wolf Pack,2,Those Guys,6
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 2,0,Grading Week 2 - 19 March 2024,That Wasn't Stepping,Ballers,32,5,2024-03-19 19:45:00+08:00,False,That Wasn't Stepping,3,Ballers,7
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 2,0,Grading Week 2 - 19 March 2024,Hoops!...I Did It Again,Cats,15,7,2024-03-19 20:30:00+08:00,False,Hoops!...I Did It Again,4,Cats,8
