bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 3,0,Grading Week 2 - 19 March 2024,Total Liabilities,Bye,-1,-1,2024-03-19 00:00:00+08:00,True,Total Liabilities,1,,
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 3,0,Grading Week 2 - 19 March 2024,Grievous Balldily Harm,99 Problems but a Swish Ain’t One,3,14,2024-03-19 18:00:00+08:00,False,Grievous Balldily Harm,2,99 Problems but a Swish Ain’t One,6.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 3,0,Grading Week 2 - 19 March 2024,Joint Forces,Ladies with gentle hands,8,20,2024-03-19 18:45:00+08:00,False,Joint Forces,3,Ladies with gentle hands,7.0
2024 Semester 1 Social Sports - Netball - Tuesday Netball - Division 3,0,Grading Week 2 - 19 March 2024,Jalapeño Hotties,Pub after?,23,7,2024-03-19 20:30:00+08:00,False,Jalapeño Hotties,4,Pub after?,8.0
