bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,oh god dont shoot,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,oh god dont shoot,1,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,Yee Haw,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Yee Haw,2,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,Ballin on those throws,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Ballin on those throws,3,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,nets to nothing,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,nets to nothing,4,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,FUJI7,Scots Tots,15,16,2023-08-15 18:00:00+08:00,False,FUJI7,5,Scots Tots,7.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,0,Round 1 - 15 August 2023,That Wasn't Stepping,Daddy Chaddy Fan Squad,14,8,2023-08-15 18:45:00+08:00,False,That Wasn't Stepping,6,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,1,Round 2 - 22 August 2023,Yee Haw,Ballin on those throws,14,19,2023-08-22 18:00:00+08:00,False,Yee Haw,2,Ballin on those throws,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,1,Round 2 - 22 August 2023,nets to nothing,Daddy Chaddy Fan Squad,18,21,2023-08-22 18:45:00+08:00,False,nets to nothing,4,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,1,Round 2 - 22 August 2023,Scots Tots,oh god dont shoot,11,23,2023-08-22 19:45:00+08:00,False,Scots Tots,7,oh god dont shoot,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,1,Round 2 - 22 August 2023,FUJI7,That Wasn't Stepping,8,24,2023-08-22 20:30:00+08:00,False,FUJI7,5,That Wasn't Stepping,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,2,Round 3 - 29 August 2023,oh god dont shoot,FUJI7,30,8,2023-08-29 18:00:00+08:00,False,oh god dont shoot,1,FUJI7,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,2,Round 3 - 29 August 2023,Ballin on those throws,Daddy Chaddy Fan Squad,10,13,2023-08-29 18:45:00+08:00,False,Ballin on those throws,3,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,2,Round 3 - 29 August 2023,Yee Haw,nets to nothing,10,19,2023-08-29 19:45:00+08:00,False,Yee Haw,2,nets to nothing,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,2,Round 3 - 29 August 2023,That Wasn't Stepping,Scots Tots,24,20,2023-08-29 21:15:00+08:00,False,That Wasn't Stepping,6,Scots Tots,7.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,3,Round 4 - 12 September 2023,Ballin on those throws,That Wasn't Stepping,13,22,2023-09-12 18:00:00+08:00,False,Ballin on those throws,3,That Wasn't Stepping,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,3,Round 4 - 12 September 2023,Scots Tots,Yee Haw,25,13,2023-09-12 18:45:00+08:00,False,Scots Tots,7,Yee Haw,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,3,Round 4 - 12 September 2023,oh god dont shoot,nets to nothing,0,20,2023-09-12 19:45:00+08:00,False,oh god dont shoot,1,nets to nothing,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,3,Round 4 - 12 September 2023,FUJI7,Daddy Chaddy Fan Squad,18,23,2023-09-12 20:30:00+08:00,False,FUJI7,5,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,4,Round 5 - 19 September 2023,FUJI7,nets to nothing,16,31,2023-09-19 18:00:00+08:00,False,FUJI7,5,nets to nothing,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,4,Round 5 - 19 September 2023,That Wasn't Stepping,oh god dont shoot,35,14,2023-09-19 18:45:00+08:00,False,That Wasn't Stepping,6,oh god dont shoot,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,4,Round 5 - 19 September 2023,Scots Tots,Ballin on those throws,26,20,2023-09-19 19:45:00+08:00,False,Scots Tots,7,Ballin on those throws,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,4,Round 5 - 19 September 2023,Yee Haw,Daddy Chaddy Fan Squad,17,27,2023-09-19 21:15:00+08:00,False,Yee Haw,2,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,5,Round 6 - 26 September 2023,Scots Tots,nets to nothing,7,27,2023-09-26 18:00:00+08:00,False,Scots Tots,7,nets to nothing,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,5,Round 6 - 26 September 2023,oh god dont shoot,Daddy Chaddy Fan Squad,20,0,2023-09-26 18:45:00+08:00,False,oh god dont shoot,1,Daddy Chaddy Fan Squad,8.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 2,5,Round 6 - 26 September 2023,FUJI7,Ballin on those throws,27,29,2023-09-26 19:45:00+08:00,False,FUJI7,5,Ballin on those throws,3.0
