bracket,round_index,round,home_team,away_team,home_score,away_score,date_time,bye,Team_Name_x,Team_1_ID,Team_Name_y,Team_2_ID
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,0,Round 1 - 15 August 2023,99 Problems but a Swish aint one,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,99 Problems but a Swish aint one,1,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,0,Round 1 - 15 August 2023,The Girls and The Gays,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,The Girls and The Gays,2,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,0,Round 1 - 15 August 2023,Total Liabilities,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Total Liabilities,3,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,0,Round 1 - 15 August 2023,Ball Fondlers,Bye,-1,-1,2023-08-15 00:00:00+08:00,True,Ball Fondlers,4,,
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,0,Round 1 - 15 August 2023,Bust a Net,Net Baddies,20,1,2023-08-15 19:45:00+08:00,False,Bust a Net,5,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,1,Round 2 - 22 August 2023,Bust a Net,Ball Fondlers,21,13,2023-08-22 18:00:00+08:00,False,Bust a Net,5,Ball Fondlers,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,1,Round 2 - 22 August 2023,99 Problems but a Swish aint one,Net Baddies,9,4,2023-08-22 18:45:00+08:00,False,99 Problems but a Swish aint one,1,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,1,Round 2 - 22 August 2023,Total Liabilities,The Girls and The Gays,10,11,2023-08-22 19:45:00+08:00,False,Total Liabilities,3,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,2,Round 3 - 29 August 2023,99 Problems but a Swish aint one,The Girls and The Gays,4,17,2023-08-29 19:45:00+08:00,False,99 Problems but a Swish aint one,1,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,2,Round 3 - 29 August 2023,Total Liabilities,Bust a Net,5,22,2023-08-29 20:30:00+08:00,False,Total Liabilities,3,Bust a Net,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,2,Round 3 - 29 August 2023,Ball Fondlers,Net Baddies,26,2,2023-08-29 21:15:00+08:00,False,Ball Fondlers,4,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,3,Round 4 - 12 September 2023,Ball Fondlers,Total Liabilities,15,17,2023-09-12 18:00:00+08:00,False,Ball Fondlers,4,Total Liabilities,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,3,Round 4 - 12 September 2023,99 Problems but a Swish aint one,Bust a Net,0,20,2023-09-12 18:45:00+08:00,False,99 Problems but a Swish aint one,1,Bust a Net,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,3,Round 4 - 12 September 2023,Net Baddies,The Girls and The Gays,1,24,2023-09-12 19:45:00+08:00,False,Net Baddies,6,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,4,Round 5 - 19 September 2023,99 Problems but a Swish aint one,Ball Fondlers,17,6,2023-09-19 19:45:00+08:00,False,99 Problems but a Swish aint one,1,Ball Fondlers,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,4,Round 5 - 19 September 2023,Total Liabilities,Net Baddies,15,3,2023-09-19 20:30:00+08:00,False,Total Liabilities,3,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,4,Round 5 - 19 September 2023,The Girls and The Gays,Bust a Net,17,9,2023-09-19 21:15:00+08:00,False,The Girls and The Gays,2,Bust a Net,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,5,Round 6 - 26 September 2023,Bust a Net,Net Baddies,20,3,2023-09-26 18:00:00+08:00,False,Bust a Net,5,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,5,Round 6 - 26 September 2023,Ball Fondlers,The Girls and The Gays,2,12,2023-09-26 18:45:00+08:00,False,Ball Fondlers,4,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,5,Round 6 - 26 September 2023,99 Problems but a Swish aint one,Total Liabilities,10,12,2023-09-26 19:45:00+08:00,False,99 Problems but a Swish aint one,1,Total Liabilities,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,6,Round 7 - 3 October 2023,Total Liabilities,The Girls and The Gays,8,16,2023-10-03 19:45:00+08:00,False,Total Liabilities,3,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,6,Round 7 - 3 October 2023,Bust a Net,Ball Fondlers,17,7,2023-10-03 20:30:00+08:00,False,Bust a Net,5,Ball Fondlers,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,6,Round 7 - 3 October 2023,99 Problems but a Swish aint one,Net Baddies,22,5,2023-10-03 21:15:00+08:00,False,99 Problems but a Swish aint one,1,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,7,Round 8 - 10 October 2023,99 Problems but a Swish aint one,The Girls and The Gays,5,13,2023-10-10 18:00:00+08:00,False,99 Problems but a Swish aint one,1,The Girls and The Gays,2.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,7,Round 8 - 10 October 2023,Total Liabilities,Bust a Net,7,19,2023-10-10 18:45:00+08:00,False,Total Liabilities,3,Bust a Net,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,7,Round 8 - 10 October 2023,Ball Fondlers,Net Baddies,18,4,2023-10-10 19:45:00+08:00,False,Ball Fondlers,4,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,8,Semi Final Round - 17 October 2023,The Girls and The Gays,99 Problems but a Swish aint one,16,5,2023-10-17 19:45:00+08:00,False,The Girls and The Gays,2,99 Problems but a Swish aint one,1.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,8,Semi Final Round - 17 October 2023,Bust a Net,Total Liabilities,14,12,2023-10-17 20:30:00+08:00,False,Bust a Net,5,Total Liabilities,3.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,8,Semi Final Round - 17 October 2023,Ball Fondlers,Net Baddies,18,5,2023-10-17 21:15:00+08:00,False,Ball Fondlers,4,Net Baddies,6.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,9,Grand Final Round - 24 October 2023,The Girls and The Gays,Bust a Net,7,15,2023-10-24 18:00:00+08:00,False,The Girls and The Gays,2,Bust a Net,5.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,9,Grand Final Round - 24 October 2023,Total Liabilities,Ball Fondlers,7,18,2023-10-24 18:45:00+08:00,False,Total Liabilities,3,Ball Fondlers,4.0
2023 Semester 2 Social Sports - Netball - Tuesday Netball - Division 3,9,Grand Final Round - 24 October 2023,99 Problems but a Swish aint one,Net Baddies,18,6,2023-10-24 19:45:00+08:00,False,99 Problems but a Swish aint one,1,Net Baddies,6.0
